Short reference,Type,Region,Iconic,Patronymic,Papponymic,Title,Divider,Divider type,Border,Border type,Orientation,Object shape,Material,Perforation,Yahwistic name,Yahwistic patronym,Elohistic name,Elohistic patronym,Belonging mark (lamed),Filiation mark (bn/bt),Provenance,Size range
Mazar & Livyatan Ben-Arie 2015: n. B5,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B6,,Judah,,,,,TRUE,Ladder pattern,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B7,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,,TRUE,,FALSE,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B8,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B10,,Judah,,TRUE,,,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B11,Bipartite,Judah,,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B12,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B13,,Judah,FALSE,TRUE,,,,,TRUE,Double-line,,,,,TRUE,,FALSE,,TRUE,FALSE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B14,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B15,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line terminating in loops,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B16,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,,,,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B17,,Judah,,,,,TRUE,,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B18,,Judah,,TRUE,,FALSE,TRUE,Double-line,TRUE,Double-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B19,,Judah,,TRUE,,FALSE,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B20,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Double-line,Symmetric,,,,,,FALSE,,TRUE,,Jerusalem,[80-100]%
Mazar & Livyatan Ben-Arie 2015: n. B21,,Judah,,,,,TRUE,Double-line,,,Horizontal,,,,,,,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B22,,Judah,,TRUE,,FALSE,TRUE,,TRUE,Single-line,,,,,,,,,,TRUE,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B23,,Judah,,TRUE,,FALSE,TRUE,Double-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B24,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,TRUE,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B25,,Judah,,,,,TRUE,Single-line,,,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B26,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,Jerusalem,
Mazar & Livyatan Ben-Arie 2015: n. B27,,Judah,FALSE,,,,TRUE,Double-line,,,Horizontal,,,,,,,,,TRUE,Jerusalem,
