Short reference,Type,Region,Iconic,Patronymic,Papponymic,Title,Divider,Divider type,Border,Border type,Orientation,Object shape,Material,Perforation,Yahwistic name,Yahwistic patronym,Elohistic name,Elohistic patronym,Belonging mark,Filiation mark,Size ratio
Mazar & Livyatan Ben-Arie 2015: n. B5,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B6,,Judah,,,,,TRUE,Ladder pattern,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B7,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,,TRUE,,FALSE,,,
Mazar & Livyatan Ben-Arie 2015: n. B8,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B10,,Judah,,TRUE,,,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B11,Bipartite,Judah,,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B12,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B13,,Judah,FALSE,TRUE,,,,,TRUE,Double-line,,,,,TRUE,,FALSE,,TRUE,FALSE,
Mazar & Livyatan Ben-Arie 2015: n. B14,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B15,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line terminating in loops,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B16,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,,,,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B17,,Judah,,,,,TRUE,,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B18,,Judah,,TRUE,,FALSE,TRUE,Double-line,TRUE,Double-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B19,,Judah,,TRUE,,FALSE,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B20,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Double-line,Symmetric,,,,,,FALSE,,TRUE,,[80-100]%
Mazar & Livyatan Ben-Arie 2015: n. B21,,Judah,,,,,TRUE,Double-line,,,Horizontal,,,,,,,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B22,,Judah,,TRUE,,FALSE,TRUE,,TRUE,Single-line,,,,,,,,,,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B23,,Judah,,TRUE,,FALSE,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B24,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B25,,Judah,,,,,TRUE,Single-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B26,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B27,,Judah,FALSE,,,,TRUE,Double-line,,,Horizontal,,,,,,,,,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B28,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,FALSE,,
Mazar & Livyatan Ben-Arie 2015: n. B29,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B30,,Judah,,,,,,,TRUE,Double-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B31,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B32,,Judah,,,,,,,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B33,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B34,,Judah,,,,,,,TRUE,Double-line,,,,,,,,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B35,,Judah,FALSE,,,,TRUE,Double-line,,,Horizontal,,,,,,,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B36,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B37,,Judah,FALSE,TRUE,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B38,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B39,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B40,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B41,,Judah,,,,,TRUE,Ladder pattern,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B42,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B43,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B44,,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,,TRUE,,,,TRUE,
Mazar & Livyatan Ben-Arie 2015: n. B45,,Judah,,,,,,,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B46,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B47,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B48,,Judah,FALSE,,,,TRUE,Double-line,TRUE,Single-line,Vertical,,,,,,,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B49,,Judah,FALSE,TRUE,,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B50,,Judah,,TRUE,FALSE,FALSE,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B51,,Judah,,,,,,,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B52,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B53,,Judah,,,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B59,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,,,,FALSE,,FALSE,,TRUE,,
Mazar & Livyatan Ben-Arie 2015: n. B62,,Judah,TRUE,,,,,,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B63,,Judah,,,,,,,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B64,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2015: n. B65,Plain iconic,Judah,TRUE,,,,FALSE,,TRUE,Double-line,,,,,,,,,,,
Mazar & Livyatan Ben-Arie 2018: n. B1,Plain iconic,Judah,TRUE,TRUE,FALSE,TRUE,FALSE,,TRUE,Triple-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
CSAPI Jerusalem 226,,Judah,TRUE,,,,,,TRUE,,,,,,,,,,,,
CSAPI Jerusalem 296,,Judah,TRUE,,,,,,TRUE,Single-line,,,,,,,,,,,
CSAPI Jerusalem 297,Bipartite,Judah,FALSE,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,,,
CSAPI Jerusalem 298,Bipartite,Judah,FALSE,,,,TRUE,Double-line,,,Horizontal,,,,,,,,,,
CSAPI Jerusalem 299,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,,,,,,,
CSAPI Jerusalem 300,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
CSAPI Jerusalem 301,Bipartite,Judah,FALSE,TRUE,,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,TRUE,,,,,
CSAPI Jerusalem 302,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
CSAPI Jerusalem 303,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
CSAPI Jerusalem 304,Bipartite,Judah,FALSE,,,,TRUE,Double-line,,,Horizontal,,,,,TRUE,,,,,
CSAPI Jerusalem 305,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,,,Horizontal,,,,,,,,,,
CSAPI Jerusalem 306,,Judah,,,,,TRUE,Double-line,TRUE,,,,,,,,,,,,
Ornan et al. 2017,Exergual,Judah,TRUE,,FALSE,FALSE,TRUE,Double-line,TRUE,,Vertical,,,,,,,,TRUE,,[80-100]%
Mazar & Livyatan Ben-Arie 2018: n. B2-B4,Tripartite,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,,,Vertical,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,
Mazar & Livyatan Ben-Arie 2018: n. B5,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,,Vertical,,,,FALSE,,FALSE,,TRUE,TRUE,
Mazar & Livyatan Ben-Arie 2018: n. B6,,Judah,,,,FALSE,TRUE,Double-line,TRUE,Double-line,,,,,,,,,,TRUE,
Mazar & Livyatan Ben-Arie 2018: n. B7,,Judah,,,,FALSE,,,,,,,,,,,,,,TRUE,
Mazar & Livyatan Ben-Arie 2018: n. B8,,Judah,,,,FALSE,TRUE,Double-line,TRUE,Dot border between lines,,,,,,,,,,TRUE,
Mazar & Livyatan Ben-Arie 2018: n. B9,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,
Mazar & Livyatan Ben-Arie 2018: n. B10,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,
Mazar & Livyatan Ben-Arie 2018: n. B11,Tripartite,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Double-line,Vertical,,,,FALSE,,FALSE,,TRUE,,
Mazar & Livyatan Ben-Arie 2018: n. B12,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,
Mazar and Livyatan Ben-Arie 2018: n. B13,,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,,TRUE,,,,,
Mazar and Livyatan Ben-Arie 2018: n. B14,,Judah,,,,,,,TRUE,Ladder pattern,,,,,,,,,,,
Mazar and Livyatan Ben-Arie 2018: n. B15,Bipartite,Judah,FALSE,,FALSE,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,TRUE,,
Mazar and Livyatan Ben-Arie 2018: n. B16,,Judah,,,,,,,,,,,,,,,,,TRUE,,
Mazar and Livyatan Ben-Arie 2018: n. B17,,Judah,TRUE,,,,TRUE,Double-line,TRUE,Dot border between lines,Vertical,,,,,,,,TRUE,,
Mazar and Livyatan Ben-Arie 2018: n. B18,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,,,,,TRUE,,
Mazar and Livyatan Ben-Arie 2018: n. B19,,Judah,,,,,,,,,,,,,,,,,,,
Mazar and Livyatan Ben-Arie 2018: n. B20,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,,,Horizontal,,,,TRUE,,,,,,
Mazar and Livyatan Ben-Arie 2018: n. B21,,Judah,TRUE,,,,,,TRUE,Double-line,,,,,,,,,,,
Mazar and Livyatan Ben-Arie 2018: n. B22,,Judah,,,,,,,,,,,,,,,,,,,
Mazar and Livyatan Ben-Arie 2018: n. B23,Bipartite,Judah,FALSE,,,,TRUE,Double-line,TRUE,Dot border between lines,Horizontal,,,,,,,,,,
Mazar and Livyatan Ben-Arie 2018: n. B24,,Judah,,,,,,,,,,,,,,,,,,,
Klingbeil et al. 2019: no. A-B,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Dot border between lines,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,
Klingbeil et al. 2019: no. C,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,,,,,,,,,TRUE,
Mendel-Geberovitch et al. 2019: 161-166,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Horizontal,,,,FALSE,,FALSE,,,,
Mendel-Geberovich et al. 2020: no. 1,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mendel-Geberovich et al. 2020: no. 2,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,,,
Mendel-Geberovich et al. 2020: no. 3,,Judah,,,,,TRUE,Single-line,,,,,,,,,,,,,
Mendel-Geberovich et al. 2020: no. 4,,Judah,,TRUE,,,TRUE,Double-line,TRUE,Single-line,,,,,,,,,,,
Mendel-Geberovich et al. 2020: no. 5,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Mendel-Geberovich et al. 2020: no. 6,,Judah,,,,,TRUE,,,,,,,,TRUE,,,,,,
Mendel-Geberovich et al. 2020: no. 7,,Judah,,TRUE,,,TRUE,Single-line,,,,,,,TRUE,,FALSE,,,,
Mendel-Geberovich et al. 2020: no. 8,,Judah,,TRUE,,FALSE,TRUE,Triple-line,TRUE,Single-line,,,,,,,,,,,
Mendel-Geberovich et al. 2020: no. 9,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,,,[80-100]%
Mendel-Geberovich et al. 2020: no. 10,,Judah,TRUE,,,,TRUE,Single-line,,,Horizontal,,,,,TRUE,,,,,
Mendel-Geberovich et al. 2020: no. 11,,Judah,TRUE,TRUE,,FALSE,TRUE,Double-line,,,,,,,,,,,,,
Mendel-Geberovich et al. 2020: no. 12,Bipartite,Judah,FALSE,,,,TRUE,Biconcave,,,Horizontal,,,,,TRUE,,,,,
Mendel-Geberovich et al. 2020: no. 13,,Judah,,,,,TRUE,Double-line,,,,,,,,,,,,,
Vukosavovi? and Chalaf 2020: Fig. 2,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,,,
Vukosavovi? and Chalaf 2020: Fig. 4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,,,
Unpublished (in the news in July 2021),Bipartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,,,Horizontal,,,,FALSE,,FALSE,,,TRUE,
Vanderhooft et al. 2022,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,,,
WSS 700,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Symmetric,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 667,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[80-100]%
WSS 676,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,,FALSE,FALSE,[80-100]%
WSS 684,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[60-79]%
WSS 691,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 695,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[60-79]%
WSS 702,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 703,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 705,Plain aniconic,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[40-59]%
WSS 709,,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,FALSE,,Horizontal,,,,,,,,,,
WSS 663,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,,TRUE,,TRUE,,[60-79]%
WSS 666,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Symmetric,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 698,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,[80-100]%
CSAPI Beth Shemesh 199,,Judah,FALSE,,,,FALSE,,TRUE,Single-line,Symmetric,,,,,,,,,,[80-100]%
WSS 670,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 674,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 677,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,[80-100]%
WSS 694,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 696,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[80-100]%
WSS 708,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 675,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,,FALSE,,FALSE,FALSE,[80-100]%
WSS 678,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Symmetric,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 679,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[80-100]%
WSS 682,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 689,Exergual,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 690,Plain aniconic,Judah,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,,,,FALSE,,FALSE,,TRUE,,
WSS 701,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 704,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[60-79]%
WSS 706,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 707,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Symmetric,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
Diringer 1941: 53, No. 19, Pl. 4:10,,Judah,,,,,,,TRUE,,,,,,,,,,,,
Diringer 1941: 49, No. 11, Pl. IV:4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,,Horizontal,,,,,TRUE,,FALSE,TRUE,FALSE,[80-100]%
WSS 711,Exergual,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,,,,,,,,TRUE,,[60-79]%
WSS 665,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,[60-79]%
WSS 697,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,[80-100]%
WSS 680,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,[80-100]%
WSS 681,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 699,,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,,TRUE,,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Aharoni 1962: 44, no. 2,Bipartite,Judah,FALSE,,,,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,,,,,,,[80-100]%
Aharoni 1962: 19, no. 4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
Aharoni 1962: 18-19, no. 3,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,FALSE,,TRUE,TRUE,,
Aharoni 1962: 44, no. 1,Bipartite,Judah,,,,,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,,,,,TRUE,,
WSS 672,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 673,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,[60-79]%
WSS 686,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
WSS 685,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,Horizontal,,,,FALSE,,FALSE,,TRUE,,
WSS 683,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,,,,,TRUE,FALSE,[80-100]%
WSS 668,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,,
Ussishkin 2004: 2137, no. 80,,Judah,,TRUE,FALSE,FALSE,TRUE,Single-line,,,Horizontal,,,,TRUE,FALSE,FALSE,FALSE,,,
WSS 664,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 687,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[60-79]%
WSS 688,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Symmetric,,,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,[80-100]%
WSS 692,Plain aniconic,Israel,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,TRUE,,[60-79]%
WSS 669,Plain aniconic,Israel,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,,,,TRUE,,FALSE,,FALSE,,[60-79]%
Ussishkin 2004: 2138, no. 91,,Judah,,TRUE,FALSE,FALSE,,,,,Symmetric,,,,,,,,,TRUE,
CSAPI Jerusalem 103,Plain aniconic,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,,FALSE,[80-100]%
CSAPI Jerusalem 106,,Judah,,,,,TRUE,Double-line,,,Horizontal,,,,,,,,,,
Barkay 2005: 171–172,Plain aniconic,Israel,,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,,,,TRUE,,FALSE,,TRUE,,[60-79]%
Seligman 2009,Plain aniconic,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,,,Horizontal,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
Lipschits 2010,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,[80-100]%
Shai et al. 2014,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,[80-100]%
Garfinkel et al. 2021,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,,,Horizontal,,,,TRUE,TRUE,,FALSE,TRUE,TRUE,[80-100]%
