ShortReference,Type(s),Polity,Iconic,HasPatronymic,HasGrandFather,HasTitle,Gender,HasDivider,DividerType,HasBorder,BorderType,Orientation,Shape,Material,Perforated,YahwisticName,YahwisticFather,ElohisticName,ElohisticFather,BelongingMark,FiliationMark
WSS 0509,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Triple-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0510,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,TRUE
WSS 0511,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0515,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0518,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE
WSS 0523,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WSS 0524,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0530,Bulla,Judah,FALSE,TRUE,TRUE,FALSE,Male,FALSE,,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0536,Bulla,Judah,FALSE,FALSE,FALSE,FALSE,Male,FALSE,,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,UNKNOWN,FALSE,FALSE
WSS 0541,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0568,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Triple-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
WSS 0571,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0573,Bulla,Judah,FALSE,TRUE,FALSE,FALSE,Male,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
