Short Reference,Type,Polity,Iconic,Patronymic,Papponymic,Title,Divider,Divider Type,Border,Border Type,Orientation,Shape,Material,Size ratio,Perforated,Yahwistic Name,Yahwistic Father,Elohistic Name,Elohistic Father,Belonging Mark,Filiation Mark
Vukosavovic and Chalaf 2020: Fig. 2,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
Vukosavovic and Chalaf 2020: Fig. 4,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line?,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0002,Exergual,Israel,TRUE,FALSE,FALSE,TRUE,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,,FALSE,,TRUE,
WSS 0008,Tripartite,Judah,TRUE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Double-line,Vertical,Scaraboid,Stone,]80-100] %,TRUE,TRUE,,FALSE,,TRUE,
WSS 0035,Plain iconic,Judah,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,Scaraboid,Organic,]80-100] %,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0052,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
WSS 0059,Exergual,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scarab,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0070,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0071,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0072,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Double-line,Horizontal,Scaraboid,Artificial,]60-80] %  ,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0085,Exergual,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,,FALSE,,TRUE,
WSS 0094,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Square,Square plaque,Stone,]80-100] %,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0111,Tripartite,Judah,FALSE,TRUE,TRUE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]80-100] %,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0132,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN
WSS 0147,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
WSS 0150,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0160,Exergual,Israel,TRUE,FALSE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,,FALSE,,TRUE,
WSS 0172,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Square,Square stamp,Stone,]80-100] %,TRUE,FALSE,,FALSE,,FALSE,
WSS 0210,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
WSS 0212,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]40-60] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0220,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Elongated rectangle,UNKNOWN,UNKNOWN,Horizontal,Eight-faceted flattened conoid,Stone,]40-60] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0224,Plain iconic,Israel,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Horizontal,Scaraboid,Stone,]60-80] %  ,FALSE,FALSE,UNKNOWN,FALSE,UNKNOWN,TRUE,
WSS 0261,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]60-80] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0293,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Polished pebble,Stone,]80-100] %,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0326,Bipartite,Judah,TRUE,FALSE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,,FALSE,,FALSE,
WSS 0350,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0360,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,Scaraboid,Stone,]80-100] %,TRUE,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,TRUE,FALSE
WSS 0385,Tripartite,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Vertical,Scaraboid,Stone,]60-80] %  ,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0405,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,,FALSE,,TRUE,
WSS 0412,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,,FALSE,,TRUE,TRUE
WSS 0416,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,,FALSE,,TRUE,UNKNOWN
WSS 0420,UNKNOWN,Judah,UNKNOWN,TRUE,FALSE,TRUE,TRUE,Double-line,UNKNOWN,UNKNOWN,Vertical,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,UNKNOWN,TRUE
WSS 0427,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0429,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0437,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0440,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0441,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
WSS 0447,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0448,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
WSS 0450,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0458,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0459,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0463,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,FALSE,TRUE,TRUE
WSS 0464,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE
WSS 0466,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,TBD,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
WSS 0467,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Ladder pattern,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0469,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0470,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0474,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0482,UNKNOWN,Judah,FALSE,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN
WSS 0498,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0500,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
WSS 0503,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0508,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0509,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0510,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,TRUE
WSS 0511,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0515,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0518,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE
WSS 0523,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
WSS 0524,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0530,Plain aniconic,Judah,FALSE,TRUE,TRUE,FALSE,FALSE,,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0536,Plain aniconic,Judah,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,,FALSE,,FALSE,
WSS 0541,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0568,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Triple-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
WSS 0571,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0573,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0577,Bipartite,Judah,FALSE,UNKNOWN,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,UNKNOWN
WSS 0581,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Biconcave,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0586,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,UNKNOWN,FALSE,TRUE,TRUE
WSS 0588,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
WSS 0595,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,UNKNOWN,FALSE,UNKNOWN,TRUE,TRUE
WSS 0596,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0599,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0605,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,UNKNOWN,TRUE,UNKNOWN,FALSE,TRUE,FALSE
WSS 0626,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0636,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Lotus-bud,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0637,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,UNKNOWN
WSS 0638,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0639,Plain iconic,Judah,TRUE,UNKNOWN,FALSE,FALSE,FALSE,,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,UNKNOWN
WSS 0643,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0644,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
WSS 0660,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,FALSE,UNKNOWN,UNKNOWN,UNKNOWN
WSS 0661,UNKNOWN,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Vertical,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TRUE,FALSE
WSS 0663,Bipartite,Judah,FALSE,FALSE,FALSE,TRUE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,,TRUE,FALSE,TRUE,
WSS 0664,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
WSS 0665,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
WSS 0666,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Circle,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0667,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WSS 0668,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,FALSE,,TRUE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,FALSE,FALSE,FALSE,UNKNOWN,UNKNOWN
WSS 0669,Plain aniconic,Israel,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,,FALSE,,FALSE,
WSS 0670,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0672,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,TRUE,FALSE,FALSE,FALSE,UNKNOWN,FALSE
WSS 0673,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
WSS 0674,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0675,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,UNKNOWN,FALSE,UNKNOWN,FALSE,FALSE
WSS 0676,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WSS 0677,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
WSS 0678,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0679,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WSS 0680,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
WSS 0681,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0682,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0683,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,TRUE,FALSE
WSS 0684,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Single-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0685,Plain iconic,Judah,TRUE,FALSE,FALSE,FALSE,FALSE,,UNKNOWN,UNKNOWN,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,,FALSE,FALSE,TRUE,
WSS 0686,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal?,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0687,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,]60-80] %  ,UNKNOWN,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WSS 0688,Bipartite,Judah,FALSE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Single-line,Circle,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0689,Exergual,Judah,TRUE,TRUE,FALSE,FALSE,TRUE,Double-line,TRUE,Double-line,Vertical,UNKNOWN,UNKNOWN,]80-100] %,UNKNOWN,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
WSS 0690,Plain aniconic,Judah,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Single-line,Horizontal,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,,FALSE,FALSE,TRUE,
